,District,Year,BCG,OPV3,HepB1,HepB3,DTP1,DTP3,DTPHepHib1,DTPHepHib3,MCV1,TT2+,PCV3,VitA_6_11months,VitA12_59months,Hib3,Pneumo1,Pneumo2,Pneumo3,Rotavirus1,Rotavirus2,PAB,MCV2,DTP2,OPV1,OPV2,MCV1_MR1,MCV2_MR2,HPV
72,Machinga,2012,1.0,1.0,1.11,1.07,1.0,1.0,0.0,0.0,1.0,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Mangochi,2012,1.0,1.0,1.11,1.07,1.0,1.0,0.0,0.0,1.0,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Mulanje,2012,1.0,1.0,1.11,1.07,1.0,1.0,0.0,0.0,1.0,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Phalombe,2012,1.0,1.0,1.11,1.07,1.0,1.0,0.0,0.0,1.0,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Zomba,2012,1.0,0.98,1.11,1.07,1.0,1.0,0.0,0.0,0.95,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Blantyre,2012,1.0,0.87,1.11,1.07,0.8,0.8,0.0,0.0,0.78,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Chikwawa,2012,1.0,1.0,1.11,1.07,1.0,1.0,0.0,0.0,0.99,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Chiradzulu,2012,1.0,1.0,1.11,1.07,1.0,1.0,0.0,0.0,1.0,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Mwanza,2012,0.98,1.0,1.11,1.07,1.0,1.0,0.0,0.0,1.0,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Neno,2012,0.77,0.83,1.11,1.07,0.84,0.84,0.0,0.0,0.78,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Nsanje,2012,1.0,1.0,1.11,1.07,1.0,1.0,0.0,0.0,0.96,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Thyolo,2012,1.0,0.98,1.11,1.07,0.97,0.97,0.0,0.0,0.92,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Chitipa,2013,0.797623883,0.826916777,0.0,0.0,0.0,0.0,0.859665956,0.847955015,0.81292583,0.574634444,0.0,0.151724046,0.0,0.0,0.8679568870000001,0.833756795,0.8363477109999999,0.8233931309999999,0.7943748709999999,0.574634444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
