,district,age_grp,sex,number
358,Mzuzu City,50-54,M,2282.0143172204344
359,Kasungu,50-54,M,9761.683160271095
360,Nkhotakota,50-54,M,4084.7941751870503
361,Ntchisi,50-54,M,3499.569298796161
362,Dowa,50-54,M,9225.300937521437
363,Salima,50-54,M,4570.778342455043
364,Lilongwe,50-54,M,18108.12388746097
365,Mchinji,50-54,M,6631.926970554786
366,Dedza,50-54,M,8841.316363881559
367,Ntcheu,50-54,M,7309.265518307844
368,Lilongwe City,50-54,M,9505.598517362465
369,Mangochi,50-54,M,10561.778095456164
370,Machinga,50-54,M,6451.239987599226
371,Zomba,50-54,M,7659.134692336123
372,Chiradzulu,50-54,M,4126.498188441331
373,Blantyre,50-54,M,5024.642950223837
374,Mwanza,50-54,M,1331.822541600165
375,Thyolo,50-54,M,8213.19422251669
376,Mulanje,50-54,M,7005.512609869509
377,Phalombe,50-54,M,3971.892979392246
378,Chikwawa,50-54,M,5972.4026181014515
379,Nsanje,50-54,M,2948.655043320141
380,Balaka,50-54,M,4452.059345908448
381,Neno,50-54,M,1529.877844545198
382,Zomba City,50-54,M,1157.1055583594411
383,Blantyre City,50-54,M,8113.533558925555
384,Chitipa,55-59,M,2160.976371383451
385,Karonga,55-59,M,3067.523409163133
386,Nkhata Bay,55-59,M,2678.834530579842
387,Rumphi,55-59,M,2131.0188906489325
388,Mzimba,55-59,M,9534.968213668813
389,Likoma,55-59,M,138.28044331245266
390,Mzuzu City,55-59,M,1532.8209985899707
391,Kasungu,55-59,M,7626.0829192137635
392,Nkhotakota,55-59,M,3208.1510874459714
393,Ntchisi,55-59,M,2825.1476965581624
394,Dowa,55-59,M,7415.6793762110565
395,Salima,55-59,M,3731.4851091051246
396,Lilongwe,55-59,M,14600.160617202306
397,Mchinji,55-59,M,5256.660741650825
398,Dedza,55-59,M,7387.942760610322
399,Ntcheu,55-59,M,6118.979666711137
400,Lilongwe City,55-59,M,6281.615515941285
401,Mangochi,55-59,M,8838.288158480113
402,Machinga,55-59,M,5596.606879165885
403,Zomba,55-59,M,6407.055104697318
404,Chiradzulu,55-59,M,3458.9554465849387
405,Blantyre,55-59,M,3851.51615619875
406,Mwanza,55-59,M,1062.061764503738
407,Thyolo,55-59,M,6486.8600524494905
408,Mulanje,55-59,M,5796.5020895854
409,Phalombe,55-59,M,3326.94239608802
410,Chikwawa,55-59,M,4704.860683143138
411,Nsanje,55-59,M,2429.8568496630655
412,Balaka,55-59,M,3672.018066558845
413,Neno,55-59,M,1129.0215993810154
414,Zomba City,55-59,M,752.5610067324998
415,Blantyre City,55-59,M,5568.936935811183
416,Chitipa,60-64,M,1574.2308717175972
417,Karonga,60-64,M,2442.9167543311746
418,Nkhata Bay,60-64,M,2241.2540317056632
419,Rumphi,60-64,M,1689.57599242454
420,Mzimba,60-64,M,7623.125871106081
421,Likoma,60-64,M,97.6388793281476
422,Mzuzu City,60-64,M,1188.4773852995409
423,Kasungu,60-64,M,5719.685949275939
424,Nkhotakota,60-64,M,2404.52075547539
425,Ntchisi,60-64,M,2073.077263939395
426,Dowa,60-64,M,5448.44403541949
427,Salima,60-64,M,2782.613440898429
428,Lilongwe,60-64,M,10634.151187451262
429,Mchinji,60-64,M,3876.467009239505
430,Dedza,60-64,M,5520.8176691005065
