Variant,Period,Sex,Age_Grp,death_rate
WPP_Medium,2035-2039,M,80-84,0.14755026
WPP_Medium,2035-2039,M,85-89,0.24189654
WPP_Medium,2035-2039,M,90-94,0.38577965
WPP_Medium,2035-2039,M,95-99,0.53946605
WPP_Medium,2040-2044,M,0-0,0.017662121
WPP_Medium,2040-2044,M,1-4,0.0015182416
WPP_Medium,2040-2044,M,5-9,0.00062236716
WPP_Medium,2040-2044,M,10-14,0.00049817056
WPP_Medium,2040-2044,M,15-19,0.0009171834
WPP_Medium,2040-2044,M,20-24,0.0014566271
WPP_Medium,2040-2044,M,25-29,0.0019206191
WPP_Medium,2040-2044,M,30-34,0.0026387343
WPP_Medium,2040-2044,M,35-39,0.0038143178
WPP_Medium,2040-2044,M,40-44,0.0052148484
WPP_Medium,2040-2044,M,45-49,0.0072078869
WPP_Medium,2040-2044,M,50-54,0.010554208
WPP_Medium,2040-2044,M,55-59,0.014642404
WPP_Medium,2040-2044,M,60-64,0.022146189
WPP_Medium,2040-2044,M,65-69,0.034047579
WPP_Medium,2040-2044,M,70-74,0.053314671
WPP_Medium,2040-2044,M,75-79,0.085440435
WPP_Medium,2040-2044,M,80-84,0.14074337
WPP_Medium,2040-2044,M,85-89,0.23171797
WPP_Medium,2040-2044,M,90-94,0.37105709
WPP_Medium,2040-2044,M,95-99,0.52256866
WPP_Medium,2045-2049,M,0-0,0.015295577
WPP_Medium,2045-2049,M,1-4,0.0012830225
WPP_Medium,2045-2049,M,5-9,0.00054668393
WPP_Medium,2045-2049,M,10-14,0.00044595257
WPP_Medium,2045-2049,M,15-19,0.00084430782
WPP_Medium,2045-2049,M,20-24,0.0013475343
WPP_Medium,2045-2049,M,25-29,0.0017644751
WPP_Medium,2045-2049,M,30-34,0.0024153402
WPP_Medium,2045-2049,M,35-39,0.0034802892
WPP_Medium,2045-2049,M,40-44,0.0047727922
WPP_Medium,2045-2049,M,45-49,0.0066271126
WPP_Medium,2045-2049,M,50-54,0.0097734004
WPP_Medium,2045-2049,M,55-59,0.013593741
WPP_Medium,2045-2049,M,60-64,0.020660618
WPP_Medium,2045-2049,M,65-69,0.031890457999999997
WPP_Medium,2045-2049,M,70-74,0.050110259
WPP_Medium,2045-2049,M,75-79,0.080705067
WPP_Medium,2045-2049,M,80-84,0.13357811
WPP_Medium,2045-2049,M,85-89,0.22115488
WPP_Medium,2045-2049,M,90-94,0.3560666
WPP_Medium,2045-2049,M,95-99,0.50573038
WPP_Medium,2050-2054,M,0-0,0.013512322
WPP_Medium,2050-2054,M,1-4,0.0010957775
WPP_Medium,2050-2054,M,5-9,0.00048508513
WPP_Medium,2050-2054,M,10-14,0.00040365673
WPP_Medium,2050-2054,M,15-19,0.00078643883
WPP_Medium,2050-2054,M,20-24,0.0012605875
WPP_Medium,2050-2054,M,25-29,0.0016391822
WPP_Medium,2050-2054,M,30-34,0.0022343114
WPP_Medium,2050-2054,M,35-39,0.0032027262
WPP_Medium,2050-2054,M,40-44,0.0043918914
WPP_Medium,2050-2054,M,45-49,0.0061073379
WPP_Medium,2050-2054,M,50-54,0.0090499245
WPP_Medium,2050-2054,M,55-59,0.012590641
WPP_Medium,2050-2054,M,60-64,0.019208253
WPP_Medium,2050-2054,M,65-69,0.029753427
WPP_Medium,2050-2054,M,70-74,0.04691211
WPP_Medium,2050-2054,M,75-79,0.075973848
