Year,Sex,Age_Grp,Variant,Count
1999,F,90-94,GBD_Est,432.5992045638671
1999,M,0-4,GBD_Est,44112.31931658696
1999,M,10-14,GBD_Est,1141.8228490390563
1999,M,15-19,GBD_Est,1465.357200315682
1999,M,20-24,GBD_Est,2035.3169960333296
1999,M,25-29,GBD_Est,3324.8484677653328
1999,M,30-34,GBD_Est,4808.291949914506
1999,M,35-39,GBD_Est,5592.914511912903
1999,M,40-44,GBD_Est,5361.925063050273
1999,M,45-49,GBD_Est,4823.212250607828
1999,M,5-9,GBD_Est,2012.168322856038
1999,M,50-54,GBD_Est,4386.103433799605
1999,M,55-59,GBD_Est,3884.1187729582766
1999,M,60-64,GBD_Est,3959.8462103040624
1999,M,65-69,GBD_Est,4244.356602230407
1999,M,70-74,GBD_Est,3997.8362596706515
1999,M,75-79,GBD_Est,3119.083864851213
1999,M,80-84,GBD_Est,1869.808929578485
1999,M,85-89,GBD_Est,825.8695819974909
1999,M,90-94,GBD_Est,292.5940165000883
2000,F,0-4,GBD_Est,37306.23964876953
2000,F,10-14,GBD_Est,830.5574791529916
2000,F,15-19,GBD_Est,1577.4542755690848
2000,F,20-24,GBD_Est,4356.455678396236
2000,F,25-29,GBD_Est,7072.029422980654
2000,F,30-34,GBD_Est,6764.9441883964855
2000,F,35-39,GBD_Est,5799.353290245348
2000,F,40-44,GBD_Est,4468.9430503618605
2000,F,45-49,GBD_Est,3973.7772108022145
2000,F,5-9,GBD_Est,1746.1151503921005
2000,F,50-54,GBD_Est,3608.8813128447982
2000,F,55-59,GBD_Est,2844.514988615125
2000,F,60-64,GBD_Est,2694.1903852148425
2000,F,65-69,GBD_Est,2896.686390471582
2000,F,70-74,GBD_Est,3379.370394818173
2000,F,75-79,GBD_Est,3160.3754971203625
2000,F,80-84,GBD_Est,2275.1280994555136
2000,F,85-89,GBD_Est,1167.3610225094124
2000,F,90-94,GBD_Est,453.52859067952403
2000,M,0-4,GBD_Est,42704.886022630344
2000,M,10-14,GBD_Est,1156.1380866061447
2000,M,15-19,GBD_Est,1482.4481630090488
2000,M,20-24,GBD_Est,2074.530947873789
2000,M,25-29,GBD_Est,3382.7659927703426
2000,M,30-34,GBD_Est,4934.238520587538
2000,M,35-39,GBD_Est,5817.131212305607
2000,M,40-44,GBD_Est,5570.943455679781
2000,M,45-49,GBD_Est,4954.941607994042
2000,M,5-9,GBD_Est,2010.1777185156961
2000,M,50-54,GBD_Est,4474.6668260429915
2000,M,55-59,GBD_Est,3933.8044649006565
2000,M,60-64,GBD_Est,3962.3532775218164
2000,M,65-69,GBD_Est,4178.701932123785
2000,M,70-74,GBD_Est,3962.703608637513
2000,M,75-79,GBD_Est,3091.5344378426544
2000,M,80-84,GBD_Est,1905.809303451869
2000,M,85-89,GBD_Est,829.1724735413269
2000,M,90-94,GBD_Est,292.8126714504116
2001,F,0-4,GBD_Est,36416.46183406556
2001,F,10-14,GBD_Est,846.0760967181792
2001,F,15-19,GBD_Est,1540.6772478506557
2001,F,20-24,GBD_Est,4227.76433311505
2001,F,25-29,GBD_Est,7304.082020909017
